user_id,device,step_reached,step_number,completed,dropped,start_timestamp,start_date,start_hour,mobile_number,full_name,date_of_birth,gender,email,address,city,state,pincode,pan_number,pan_file_name,aadhaar_number,aadhaar_file_name,employment_type,company_name,monthly_income,income_proof_file,bank_name,account_number,loan_amount,loan_tenure,loan_purpose,agreed_terms,submitted_at
LIVE570395,mobile_android,step_1_mobile_entry,1,False,True,2026-07-09T10:19:07.286Z,2026-07-09,15,,,,,,,,,,,,,,,,,,,,,,,,2026-07-09T15:49:09.925343
LIVE201862,mobile_android,step_8_final_submit,8,True,False,2026-07-09T10:19:17.479Z,2026-07-09,15,1234567891,Mohit Bajaj,2006-02-20,male,bajajmohit785@gmail.com,"C-502, Swanand Bliss
Behind Patel Signature",Mumbai,Maharashtra,421501,ABCDE1234F,scan_001.pdf,123456789123,scan_001.pdf,salaried,asd,123456.0,document_scan.jpg,HDFC,123456,100000.0,12,personal,True,2026-07-09T15:50:29.395120
LIVE802723,mobile_ios,step_1_mobile_entry,1,False,True,2026-07-09T10:21:15.081Z,2026-07-09,15,1234567895,Mohit Bajaj,2006-02-20,male,bajajmohit785@gmail.com,"C-502, Swanand Bliss
Behind Patel Signature",Mumbai,Maharashtra,421501,ABCDE1234F,document_scan.jpg,123456789124,document_scan.jpg,self_employed,,,,,,,,,,2026-07-09T15:52:10.267920
LIVE892789,mobile_android,step_3_personal_details,3,False,True,2026-07-09T10:28:52.069Z,2026-07-09,16,1234567895,,,,,,,,,,,,,,,,,,,,,,,2026-07-09T16:02:11.987288
LIVE131854,mobile_ios,step_8_final_submit,8,True,False,2026-07-09T11:55:11.815Z,2026-07-09,17,1234567894,Mohit Bajaj,2006-02-20,male,bajajmohit785@gmail.com,"C-502, Swanand Bliss
Behind Patel Signature",Mumbai,Maharashtra,421501,ABCDE1232F,document_scan.jpg,123456789123,IMG_20260709.png,salaried,abc,123456.0,photo_capture.jpg,PNB,12345678,150000.0,18,education,True,2026-07-09T17:26:54.028672
LIVE518584,mobile_android,step_2_otp_verification,2,False,True,2026-07-09T11:57:44.336Z,2026-07-09,17,1234567897,,,,,,,,,,,,,,,,,,,,,,,2026-07-09T17:28:12.752434
LIVE341249,mobile_android,step_3_personal_details,3,False,True,2026-07-09T12:00:17.744Z,2026-07-09,17,1234567898,,,,,,,,,,,,,,,,,,,,,,,2026-07-09T17:31:10.254304
LIVE738605,tablet,step_2_otp_verification,2,False,True,2026-07-09T12:04:24.038Z,2026-07-09,17,1234568748,,,,,,,,,,,,,,,,,,,,,,,2026-07-09T17:34:47.349599
LIVE243754,desktop,step_2_otp_verification,2,False,True,2026-07-09T12:05:55.269Z,2026-07-09,17,1234567888,,,,,,,,,,,,,,,,,,,,,,,2026-07-09T17:36:03.071678
LIVE662713,tablet,step_8_final_submit,8,True,False,2026-07-09T12:06:32.238Z,2026-07-09,17,1233556666,Mohit Bajaj,2006-02-20,male,bajajmohit785@gmail.com,"C-502, Swanand Bliss
Behind Patel Signature",Mumbai,Maharashtra,421501,ABCDE1234F,scan_001.pdf,256178151156,document_scan.jpg,salaried,dds,1255115.0,scan_001.pdf,HDFC,5151445,115155.0,6,education,True,2026-07-09T17:37:45.566015
LIVE101974,mobile_android,step_1_mobile_entry,1,False,True,2026-07-09T13:48:38.042Z,2026-07-09,19,,,,,,,,,,,,,,,,,,,,,,,,2026-07-09T19:19:59.053285
LIVE960697,mobile_android,step_2_otp_verification,2,False,True,2026-07-09T14:00:41.913Z,2026-07-09,19,7870834535,,,,,,,,,,,,,,,,,,,,,,,2026-07-09T19:32:01.880854
